exchange, uptake
EX_2obut_e,1000
EX_4abut_e,1000
EX_LalaDgluMdap_e,1000
EX_acmana_e,1000
EX_akg_e,1000
EX_arbt_e,1000
EX_arg__L_e,1000
EX_asn__L_e,1000
EX_ca2_e,1000
EX_cgly_e,1000
EX_cit_e,1000
EX_cl_e,1000
EX_cobalt2_e,1000
EX_cu2_e,1000
EX_cytd_e,1000
EX_dad_2_e,1000
EX_fe2_e,1000
EX_fe3_e,1000
EX_fol_e,1000
EX_glu__L_e,1000
EX_glx_e,1000
EX_glyb_e,1000
EX_h2o2_e,1000
EX_h2o_e,1000
EX_his__L_e,1000
EX_k_e,1000
EX_lys__L_e,1000
EX_metox_e,1000
EX_mg2_e,1000
EX_mn2_e,1000
EX_nac_e,1000
EX_o2_e,1000
EX_phe__L_e,1000
EX_pnto__R_e,1000
EX_pro__L_e,1000
EX_ribflv_e,1000
EX_s_e,1000
EX_ser__L_e,1000
EX_skm_e,1000
EX_so4_e,1000
EX_thm_e,1000
EX_thr__L_e,1000
EX_thymd_e,1000
EX_trp__L_e,1000
EX_tyr__L_e,1000
EX_uri_e,1000
EX_zn2_e,1000
